,ontology,reasoner,size,type,time,calls
0,admin,fact++,1,full,145.0,286.0
1,admin,fact++,1,full,137.0,1659.0
2,admin,fact++,1,full,118.0,286.0
3,admin,fact++,1,full,139.0,286.0
4,admin,fact++,1,full,185.0,997.0
5,admin,fact++,1,full,168.0,1534.0
6,admin,fact++,1,full,148.0,1744.0
7,admin,fact++,1,full,127.0,1750.0
8,admin,fact++,1,full,132.0,1932.0
9,admin,fact++,1,full,98.0,286.0
10,admin,fact++,1,full,92.0,286.0
11,admin,fact++,1,full,87.0,286.0
12,admin,fact++,1,full,86.0,1033.0
13,admin,fact++,1,full,84.0,995.0
14,admin,fact++,1,full,83.0,1664.0
15,admin,fact++,1,full,80.0,1033.0
16,admin,fact++,1,full,118.0,962.0
17,admin,fact++,1,full,79.0,1614.0
18,admin,fact++,1,full,135.0,1075.0
19,admin,fact++,1,full,91.0,1608.0
20,admin,fact++,1,full,98.0,963.0
21,admin,fact++,1,full,246.0,1055.0
22,admin,fact++,1,full,125.0,1608.0
23,admin,fact++,1,full,83.0,286.0
24,admin,fact++,1,full,61.0,575.0
25,admin,fact++,1,full,65.0,1043.0
26,admin,fact++,1,full,58.0,617.0
27,admin,fact++,1,full,66.0,417.0
28,admin,fact++,1,full,89.0,1739.0
29,admin,fact++,1,full,80.0,1662.0
30,admin,fact++,1,full,62.0,286.0
31,admin,fact++,1,full,64.0,286.0
32,admin,fact++,1,full,61.0,286.0
33,admin,fact++,1,full,70.0,1696.0
34,admin,fact++,1,full,62.0,286.0
35,admin,fact++,1,full,61.0,286.0
36,admin,fact++,1,full,63.0,575.0
37,admin,fact++,1,full,83.0,1952.0
38,admin,fact++,1,full,94.0,1955.0
39,admin,fact++,1,full,64.0,994.0
40,admin,fact++,1,full,0.0,0.0
41,admin,fact++,1,full,94.0,1996.0
42,admin,fact++,1,full,148.0,1887.0
43,admin,fact++,1,full,76.0,286.0
44,admin,fact++,1,full,85.0,286.0
45,admin,fact++,1,full,82.0,286.0
46,admin,fact++,1,full,85.0,286.0
47,admin,fact++,1,full,10.0,190.0
48,admin,fact++,1,full,188.0,1952.0
49,admin,fact++,1,full,105.0,1608.0
50,admin,fact++,1,full,84.0,671.0
51,admin,fact++,1,full,94.0,1596.0
52,admin,fact++,1,full,87.0,1831.0
53,admin,fact++,1,full,101.0,1988.0
54,admin,fact++,1,full,77.0,286.0
55,admin,fact++,1,full,84.0,286.0
56,admin,fact++,1,full,104.0,1996.0
57,admin,fact++,1,full,80.0,286.0
58,admin,fact++,1,full,72.0,1662.0
59,admin,fact++,1,full,69.0,286.0
60,admin,fact++,1,full,89.0,2026.0
61,admin,fact++,1,full,68.0,575.0
62,admin,fact++,1,full,77.0,1033.0
63,admin,fact++,1,full,64.0,1032.0
64,admin,fact++,1,full,77.0,1620.0
65,admin,fact++,1,full,56.0,1534.0
66,admin,fact++,1,full,63.0,1034.0
67,admin,fact++,1,full,70.0,1029.0
68,admin,fact++,1,full,62.0,286.0
69,admin,fact++,1,full,58.0,286.0
70,admin,fact++,1,full,95.0,286.0
71,admin,fact++,1,full,66.0,1608.0
72,admin,fact++,1,full,68.0,1754.0
73,admin,fact++,1,full,77.0,962.0
